name,description,type,sub_type,attribute,attack,defense,price,volatility,index,index_market,join_id,set_id,set_name,set_release,rarity,rank,name_official,price_missing
Vernusylph of the Misting Seedlings,"All monsters on the field lose 600 ATK, except ""Vernusylph"" monsters. You can discard this card, and 1 monster or 1 ""Vernusylph"" card; you cannot activate non-EARTH monster effects for the rest of this turn, also add 1 EARTH Fairy monster from your Deck to your hand, except ""Vernusylph of the Misting Seedlings"", then you can Special Summon 1 EARTH monster from your GY. You can only use this effect of ""Vernusylph of the Misting Seedlings"" once per turn.",MONSTER,[Fairy／Effect],EARTH,400,800,0.85,,17782,450215,DABL-EN026SR,DABL-EN026,DARKWING BLAST,2022-10-21,SR Super Rare,3,Vernusylph of the Misting Seedlings,False
Vernusylph of the Thawing Mountains,"You can discard this card, and 1 monster or ""Vernusylph"" card; draw 1 card, then you can Special Summon 1 EARTH monster from your GY, also you cannot activate non-EARTH monster effects for the rest of this turn. You can target 1 ""Vernusylph"" monster you control; it can make a second attack during each Battle Phase this turn. You can only use each effect of ""Vernusylph of the Thawing Mountains"" once per turn.",MONSTER,[Fairy／Effect],EARTH,1100,0,0.07,,17421,279973,POTE-EN019C,POTE-EN019,POWER OF THE ELEMENTS,2022-08-05,C Common,3,Vernusylph of the Thawing Mountains,False
Versago the Destroyer,"This card can be used as a substitute for any 1 Fusion Material mentioned by name on the Fusion Monster Card, but the other material(s) must be correct.",MONSTER,[Fiend／Effect],DARK,1100,900,8.785,,4275,489372,SGX3-ENA10C,GLD4-EN006,GOLD SERIES 4 PYRAMIDS EDITION,2002-09-01,C Common,3,Versago the Destroyer,False
Vic Viper T301,"When an attack is declared involving your face-up monster and an opponent's monster: You can Special Summon this card from your hand or GY, but banish it when it leaves the field. You can only use this effect of ""Vic Viper T301"" once per turn. Other LIGHT Machine monsters you control gain 1200 ATK.",MONSTER,[Machine／Effect],LIGHT,1200,800,0.29,,14472,194632,RIRA-EN024R,RIRA-EN024,RISING RAMPAGE,2019-07-27,R Rare,4,Vic Viper T301,False
Vice Berserker,"If this card is sent to the Graveyard as a Synchro Material Monster, inflict 2000 damage to the player that Synchro Summoned, and the Synchro Monster that used this card as a Synchro Material Monster gains 2000 ATK until the End Phase.",MONSTER,[Fiend／Effect],DARK,1000,1000,,,9085,38542,STBL-EN008C,STBL-EN008,STARSTRIKE BLAST,2010-11-16,C Common,4,Vice Berserker,True
Vice Dragon,"If only your opponent controls a monster, you can Special Summon this card (from your hand), but its original ATK/DEF become halved.",MONSTER,[Dragon／Effect],DARK,2000,2400,0.288,,7991,515999,SDCK-EN009C,GLD3-EN002,DRAGONS COLLIDE STRUCTURE DECK,2010-06-23,C Common,5,Vice Dragon,False
Vicious Astraloud,"""Visas Starfrost"" + 1 monster with 1500 ATK/2100 DEFMust be Special Summoned (from your Extra Deck) by banishing the above cards from your field and/or GY. Cannot be destroyed by battle. If this card is Special Summoned: You can target 1 other monster on the field; destroy it, and if you do, this card gains ATK equal to half of that monster's original ATK or DEF (whichever is higher).",MONSTER,[Fairy／Fusion／Effect],DARK,3000,3000,0.72,,18499,579557,MP24-EN083PSE,CYAC-EN036,25TH ANNIVERSARY TIN: DUELING MIRRORS,2023-05-05,PSE Prismatic Secret Rare,8,Vicious Astraloud,False
Victoria,"Once per turn: You can target 1 Dragon-Type monster in your opponent's Graveyard; Special Summon that target to your side of the field. Your opponent cannot target face-up Fairy-Type monsters for attacks, except this one.",MONSTER,[Fairy／Effect],LIGHT,1800,1500,3.9267,,8076,77625,DL16-EN008R,DL16-EN008,DUELIST LEAGUE 16,2013-07-01,R Rare,4,Victoria,False
"Victorica, Angel of Bravery","If this card is Special Summoned: You can Special Summon 1 Level 5 or higher LIGHT monster from your hand, but you lose LP equal to its original ATK, also its ATK becomes doubled until the end of this turn. If this card in the Monster Zone is destroyed: You can banish 1 other Fairy monster from your GY; add 1 Fairy monster with the same Level as that monster from your Deck to your hand. You can only use each effect of ""Victorica, Angel of Bravery"" once per turn.",MONSTER,[Fairy／Effect],LIGHT,1400,800,0.19,,16801,269307,GFP2-EN042UR,GFP2-EN042,GHOSTS FROM THE PAST: THE 2ND HAUNTING,2022-05-06,UR Ultra Rare,4,"Victorica, Angel of Bravery",False
Victory Dragon,"This card cannot be Special Summoned. To Tribute Summon this card, you must Tribute 3 Dragon-Type monsters. If this card attacks your opponent directly and reduces their Life Points to 0, you win the Match.",MONSTER,[Dragon／Effect],DARK,2400,3000,47.1733,,5868,78270,RP02-EN098SE,RP02-EN098,RETRO PACK 2,2009-07-28,SE Secret Rare,8,Victory Dragon,False
Victory Viper XX03,"If this card destroys an opponent's monster by battle: Activate 1 of these effects.●This card gains 400 ATK.●Target 1 face-up Spell/Trap on the field; destroy that target.●Special Summon 1 ""Option Token"". Its Type, Attribute, Level, and ATK/DEF are always the same as this card, but destroy it if this card is no longer face-up on the field.",MONSTER,[Machine／Effect],LIGHT,1200,1000,0.3475,,6684,227962,SBCB-EN067C,BP03-EN021,BATTLE PACK 3 MONSTER LEAGUE,2006-05-17,C Common,4,Victory Viper XX03,False
Vijam the Cubic Seed,"Cannot be destroyed by battle. At the end of the Damage Step, if this card battled an opponent's monster: You can place this card face-up in your Spell & Trap Zone as a Continuous Spell Card, and if you do, place 1 Cubic Counter on that opponent's monster. (Monsters with a Cubic Counter cannot attack, also negate their effects.) If this card is treated as a Continuous Spell Card by this effect, during your Main Phase: You can Special Summon this card from your Spell & Trap Zone.",MONSTER,[Fiend／Effect],DARK,0,0,0.6233,,12515,207844,MVP1-ENS32SE,MVP1-EN032,Yu-Gi-Oh! THE DARK SIDE OF DIMENSIONS MOVIE PACK,2016-07-22,GR Gold Rare,1,Vijam the Cubic Seed,False
Vilepawn Archfiend,"Once per turn, during your Standby Phase, you must pay 500 LP (this is not optional), or this card is destroyed. When resolving an opponent's card effect that targets this card, roll a six-sided die and negate that effect if you roll a 3, and if you do, destroy that card. Your opponent's monsters cannot attack any ""Archfiend"" monsters you control, except ""Vilepawn Archfiend"".",MONSTER,[Fiend／Effect],EARTH,1200,200,0.218,,5772,487345,DCR-EN067C,DCR-EN067,DARK CRISIS (LC01 25th Anniversary Edition),2007-12-12,C Common,2,Vilepawn Archfiend,False
Vindikite R-Genex,"1 ""Genex"" Tuner + 1 or more non-Tuner WIND monstersYour opponent cannot select this card as an attack target. If this card destroys an opponent's monster by battle, you can add 1 ""Genex"" monster from your Deck to your hand.",MONSTER,[Machine／Synchro／Effect],WIND,2400,1000,0.28,,8416,38751,HA03-EN059SE,HA03-EN059,HIDDEN ARSENAL 3,2010-12-07,SE Secret Rare,8,Vindikite R-Genex,False
Violent Rain,This monster can call forth sudden torrents of battering rain.,MONSTER,[Aqua／Normal],WATER,1550,800,3.13,,4605,25346,TP8-EN015C,TP8-EN015,TOURNAMENT PACK 8,2006-04-28,C Common,4,Violent Rain,False
Violet Witch,If this card is destroyed by battle and sent to the Graveyard: Add 1 Plant-Type monster with 1500 or less DEF from your Deck to your hand.,MONSTER,[Spellcaster／Effect],DARK,1100,1200,3.79,,8088,93921,LC5D-EN086R,CRMS-EN097,CRIMSON CRISIS,2009-03-03,R Rare,4,Violet Witch,False
"Virgil, Rock Star of the Burning Abyss","1 Tuner + 1 or more non-Tuner monstersYou can only control 1 ""Virgil, Rock Star of the Burning Abyss"". Once per turn: You can discard 1 ""Burning Abyss"" card, then target 1 card your opponent controls or in their Graveyard; shuffle it into the Deck. If this card on the field is destroyed by battle or card effect and sent to the Graveyard: You can draw 1 card. You can only use this effect of ""Virgil, Rock Star of the Burning Abyss"" once per turn.",MONSTER,[Spellcaster／Synchro／Effect],LIGHT,2500,1000,0.8933,,11508,115846,PGL3-EN061GR,MP15-EN187,2015 MEGA-TINS MEGA PACK,2014-11-07,SE Secret Rare,6,"Virgil, Rock Star of the Burning Abyss",False
Virtual World Beast - Jiujiu,"1 Tuner + 1+ non-Tuner monstersCannot be destroyed by battle or card effects while you have 2 or more monsters in your GY with the same original Type and Attribute, but different names. You can banish 2 monsters from your GY with the same original Type and Attribute, but different names, then target 1 card on the field; send it to the GY. You can only use this effect of ""Virtual World Beast - Jiujiu"" once per turn.",MONSTER,[Psychic／Synchro／Effect],WIND,2400,1700,0.165,,15232,248940,MP21-EN221R,MP21-EN221,2021 TIN OF ANCIENT BATTLES,2020-11-06,R Rare,6,Virtual World Beast - Jiujiu,False
Virtual World Dragon - Longlong,"2+ Level 3 monsters with the same Type and AttributeYour opponent cannot target this card with card effects while it has Xyz Material. When your opponent activates the effect of a monster with an Attribute that is not on their field, while they control a face-up monster (Quick Effect): You can detach 2 materials from this card; negate the activation. You can only use this effect of ""Virtual World Dragon - Longlong"" once per turn.",MONSTER,[Wyrm／Xyz／Effect],EARTH,2400,2000,0.135,,15233,248939,MP21-EN222R,MP21-EN222,2021 TIN OF ANCIENT BATTLES,2020-11-06,R Rare,3,Virtual World Dragon - Longlong,False
Virtual World Hime - Nyannyan,"If a Level 3 monster(s) is Normal or Special Summoned to your field while this card is in your GY (except during the Damage Step): You can Special Summon this card as a Tuner, but banish it when it leaves the field, also for the rest of this turn, you can only Special Summon Level/Rank 3 or higher monsters. If this card is banished: You can target 1 of your other banished cards; shuffle it into the Deck. You can only use each effect of ""Virtual World Hime - Nyannyan"" once per turn.",MONSTER,[Psychic／Effect],WIND,1500,1500,0.1367,,15234,260768,GRCR-EN047R,GRCR-EN047,2021 TIN OF ANCIENT BATTLES,2020-11-06,PSE Prismatic Secret Rare,3,Virtual World Hime - Nyannyan,False
Virtual World Kirin - Lili,"If this card is in your hand: You can target 1 ""Virtual World"" card you control; send 1 ""Virtual World"" card of a different type (Monster, Spell, Trap) from your Deck to the GY, and if you do, Special Summon this card, then, you can send 1 ""Virtual World"" card of the third type from your Deck to the GY, except ""Virtual World Kirin - Lili"". For the rest of this turn, you can only Special Summon Level/Rank 3 or higher monsters. You can only use this effect of ""Virtual World Kirin - Lili"" once per turn.",MONSTER,[Wyrm／Effect],EARTH,1800,600,0.075,,15492,249008,MP21-EN176UR,MP21-EN176,2021 TIN OF ANCIENT BATTLES,2020-11-06,C Common,6,Virtual World Kirin - Lili,False
Virtual World Kyubi - Shenshen,"1 Tuner + 1+ non-Tuner monstersAny card sent from the field to the GY is banished instead. You can only use each of the following effects of ""Virtual World Kyubi - Shenshen"" once per turn. When your monster declares an attack: You can return 1 banished monster to the owner's GY. During your Main Phase, except the turn this card was sent to the GY: You can banish 2 other monsters from your GY with different original Types and Attributes from each other; Special Summon this card from your GY.",MONSTER,[Psychic／Synchro／Effect],WIND,2800,2400,0.5267,,15515,555098,OP25-EN020C,MP21-EN186,2021 TIN OF ANCIENT BATTLES,2020-11-06,C Common,9,Virtual World Kyubi - Shenshen,False
Virtual World Mai-Hime - Lulu,"If this card is in your hand: You can target 1 ""Virtual World"" card you control; send 1 ""Virtual World"" card of a different type (Monster, Spell, Trap) from your Deck to the GY, and if you do, Special Summon this card, then, you can add 1 ""Virtual World"" card of the third type from your Deck to your hand, except ""Virtual World Mai-Hime - Lulu"". For the rest of this turn, you can only Special Summon Level/Rank 3 or higher monsters. You can only use this effect of ""Virtual World Mai-Hime - Lulu"" once per turn.",MONSTER,[Psychic／Tuner／Effect],WIND,1600,600,0.325,,15489,249014,MP21-EN173PSE,MP21-EN173,2021 TIN OF ANCIENT BATTLES,2020-11-06,PSE Prismatic Secret Rare,3,Virtual World Mai-Hime - Lulu,False
Virtual World Oto-Hime - Toutou,"If you control no monsters, or all monsters you control are Psychic and/or Wyrm monsters, you can Normal Summon this card without Tributing. If this card is in your GY: You can discard 1 Psychic or Wyrm monster; Special Summon this card as a Tuner, but banish it when it leaves the field, also for the rest of this turn, you can only Special Summon Level/Rank 3 or higher monsters. You can only use this effect of ""Virtual World Oto-Hime - Toutou"" once per turn.",MONSTER,[Wyrm／Effect],EARTH,1200,1800,0.125,,15585,284973,MP22-EN055R,BLVO-EN099,2022 TIN OF THE PHARAOH'S GODS,2021-02-05,R Rare,6,Virtual World Oto-Hime - Toutou,False
Virtual World Phoenix - Fanfan,"2+ Level 6 monstersOnce per turn: You can detach 2 materials from this card, then target 1 face-up card your opponent controls and 1 card in either GY; banish them. If this Xyz Summoned card is destroyed by battle with an opponent's attacking monster, or by an opponent's card effect while in its owner's Monster Zone: You can Special Summon 2 ""Virtual World"" monsters with the same Type and Attribute as each other from your Deck. You can only use this effect of ""Virtual World Phoenix - Fanfan"" once per turn.",MONSTER,[Wyrm／Xyz／Effect],EARTH,2600,2000,0.3,,15522,248977,MP21-EN193R,MP21-EN193,2021 TIN OF ANCIENT BATTLES,2020-11-06,R Rare,6,Virtual World Phoenix - Fanfan,False
Virtual World Roshi - Laolao,"If this card is in your hand: You can target 1 ""Virtual World"" card you control; send 1 ""Virtual World"" card of a different type (Monster, Spell, Trap) from your Deck to the GY, and if you do, Special Summon this card, then, you can Special Summon 1 ""Virtual World"" monster from your GY in Defense Position, with a different name than the card sent to the GY, but negate its effects. For the rest of this turn, you can only Special Summon Level/Rank 3 or higher monsters. You can only use this effect of ""Virtual World Roshi - Laolao"" once per turn.",MONSTER,[Psychic／Tuner／Effect],WIND,0,2400,0.215,,15490,249013,MP21-EN174PSE,MP21-EN174,2021 TIN OF ANCIENT BATTLES,2020-11-06,PSE Prismatic Secret Rare,6,Virtual World Roshi - Laolao,False
Virtual World Shell - Jaja,"2+ Level 3 monstersOnce per turn: You can detach 1 material from this card, then target 1 face-up monster you control; it cannot be destroyed by battle until the end of your opponent's turn. Once per turn, after damage calculation, if this card battled an opponent's monster, while you have 2 or more monsters in your GY with the same original Type and Attribute as each other: You can banish that opponent's monster.",MONSTER,[Wyrm／Xyz／Effect],EARTH,1000,2400,0.1,,15521,248978,MP21-EN192R,MP21-EN192,2021 TIN OF ANCIENT BATTLES,2020-11-06,C Common,3,Virtual World Shell - Jaja,False
Virtual World Tiger - Fufu,"2+ Level 9 monstersGains the following effects, based on the number of ""Virtual World Gate"" cards you control.●2+: This card can attack directly.●4: This card is unaffected by activated card effects, except ""Virtual World"" cards.Once per turn (Quick Effect): You can detach 1 material from this card, then target 1 Effect Monster you control and 1 Effect Monster on the field with a different Type and Attribute from it; negate their effects until the end of this turn.",MONSTER,[Wyrm／Xyz／Effect],EARTH,2600,2800,0.09,,18509,493897,CYAC-EN046C,CYAC-EN046,CYBERSTORM ACCESS,2023-05-05,C Common,9,Virtual World Tiger - Fufu,False
Virtual World Xiezhi - Jiji,"If this card is in your hand: You can target 1 ""Virtual World"" card you control; send 1 ""Virtual World"" card of a different type (Monster, Spell, Trap) from your Deck to the GY, and if you do, Special Summon this card, then, during the End Phase of this turn, you can add 1 ""Virtual World"" monster from your GY to your hand, except ""Virtual World Xiezhi - Jiji"". For the rest of this turn, you can only Special Summon Level/Rank 3 or higher monsters. You can only use this effect of ""Virtual World Xiezhi - Jiji"" once per turn.",MONSTER,[Wyrm／Effect],EARTH,1000,1600,0.08,,15491,249010,MP21-EN175UR,MP21-EN175,2021 TIN OF ANCIENT BATTLES,2020-11-06,C Common,3,Virtual World Xiezhi - Jiji,False
Visas Amritara,"1+ Tuners + 1 LIGHT monsterThis card's name becomes ""Visas Starfrost"" while on the field. You can only use each of the following effects of ""Visas Amritara"" once per turn. If this card is Synchro Summoned: You can add 1 Spell/Trap that mentions ""Visas Starfrost"" from your Deck to your hand. During your Main Phase: You can destroy 1 monster you control, also all Synchro Monsters you control will gain 800 ATK this turn.",MONSTER,[Warrior／Synchro／Tuner／Effect],LIGHT,2500,2100,8.13,,18826,579572,MP24-EN098PSE,DUNE-EN039,DUELIST NEXUS,2023-07-28,PSE Prismatic Secret Rare,8,Visas Amritara,False
Visas Samsara,"This card's name becomes ""Visas Starfrost"" while on the field or in the GY. You can target any number of your ""Visas"" monsters that are banished, in your GY, and/or on your field; shuffle those ""Visas"" monsters into the Deck, and if you do, Special Summon this card from your hand, and if you do that, it gains 400 ATK for each monster you shuffled with a different original name. You can only use this effect of ""Visas Samsara"" once per turn. If this card you control would be used as Synchro Material, you can treat it as a non-Tuner.",MONSTER,[Fairy／Tuner／Effect],LIGHT,1500,2100,9.09,,19146,579582,MP24-EN108PSE,AGOV-EN004,AGE OF OVERLORD,2023-10-20,PSE Prismatic Secret Rare,4,Visas Samsara,False
Visas Starfrost,"If this card is in your hand: You can target 1 monster you control with a different Type and Attribute than this card; destroy that monster, and if you do, Special Summon this card. You can only use this effect of ""Visas Starfrost"" once per turn. When this card destroys an opponent's monster by battle: You can make this card gain ATK equal to half the original ATK or DEF of that monster (whichever is higher, your choice if tied).",MONSTER,[Warrior／Tuner／Effect],LIGHT,2100,1500,8.674,,17120,533058,STAS-EN019C,CYAC-EN100,2-PLAYER STARTER SET,2022-05-14,C Common,6,Visas Starfrost,False
Viser Des,"If this card is Normal Summoned: Target 1 monster your opponent controls; during your third Standby Phase after this effect's activation, destroy that monster. This card cannot be destroyed by battle while the targeted monster is on the field.",MONSTER,[Fiend／Effect],DARK,500,1200,0.2675,,5292,214029,SS05-ENB16C,ABPF-EN093,ABSOLUTE POWERFORCE,2010-02-16,C Common,4,Viser Des,False
Vision HERO Adoration,"2 ""HERO"" monstersOnce per turn: You can target 1 face-up monster your opponent controls and 1 other ""HERO"" monster you control; that opponent's monster loses ATK/DEF equal to the ATK of your targeted monster, until the end of this turn.",MONSTER,[Warrior／Fusion／Effect],DARK,2800,2100,2.0167,,9076,538541,BLC1-EN069C,BLC1-EN069,BATTLES OF LEGEND - CHAPTER 1,2011-08-16,C Common,8,Vision HERO Adoration,False
Vision HERO Faris,"You can discard 1 other ""HERO"" monster; Special Summon this card from your hand. If this card is Normal or Special Summoned: You can place 1 ""Vision HERO"" monster from your Deck, except ""Vision HERO Faris"", in your Spell & Trap Zone as a face-up Continuous Trap, also you cannot Special Summon monsters from the Extra Deck for the rest of this turn, except ""HERO"" monsters. You can only use each effect of ""Vision HERO Faris"" once per turn.",MONSTER,[Warrior／Effect],DARK,1600,1800,1.8557,,9190,524620,RA01-EN004SR,RA01-EN004,25TH ANNIVERSARY RARITY COLLECTION,2023-11-03,SE Secret Rare,5,Vision HERO Faris,False
Vision HERO Gravito,"If this card is Normal or Special Summoned: You can target 1 of your banished ""HERO"" monsters; add it to your hand. You can Tribute this card, then target 2 ""Vision HERO"" Monster Cards in your Spell & Trap Zone; Special Summon them. You can only use each effect of ""Vision HERO Gravito"" once per turn.",MONSTER,[Warrior／Effect],DARK,500,2000,0.1567,,9230,538556,BLC1-EN084C,BLC1-EN084,BATTLES OF LEGEND - CHAPTER 1,2019-07-12,UR Ultra Rare,4,Vision HERO Gravito,False
Vision HERO Increase,"If you take battle or effect damage while this card is in your GY: You can place this card from your GY in your Spell & Trap Zone as a face-up Continuous Trap. During the Main Phase, if this card is treated as a Continuous Trap: You can Tribute 1 ""HERO"" monster; Special Summon this card. If this card is Special Summoned from the Spell & Trap Zone: You can Special Summon 1 Level 4 or lower ""Vision HERO"" monster from your Deck. You can only use each effect of ""Vision HERO Increase"" once per turn.",MONSTER,[Warrior／Effect],DARK,900,1100,2.15,,9063,538554,BLC1-EN082C,BLC1-EN082,BATTLES OF LEGEND - CHAPTER 1,2019-07-12,C Common,3,Vision HERO Increase,False
Vision HERO Minimum Ray,"If you take battle or effect damage while this card is in your GY: You can place this card from your GY in your Spell & Trap Zone as a face-up Continuous Trap. During the Main Phase, if this card is treated as a Continuous Trap: You can Tribute 1 ""HERO"" monster; Special Summon this card. If this card is Special Summoned from the Spell & Trap Zone: You can destroy 1 Level 4 or lower monster your opponent controls. You can only use each effect of ""Vision HERO Minimum Ray"" once per turn.",MONSTER,[Warrior／Effect],DARK,1200,700,0.1567,,9055,538552,BLC1-EN080C,BLC1-EN080,BATTLES OF LEGEND - CHAPTER 1,2019-07-12,UR Ultra Rare,3,Vision HERO Minimum Ray,False
Vision HERO Multiply Guy,"If you take battle or effect damage while this card is in your GY: You can place this card from your GY in your Spell & Trap Zone as a face-up Continuous Trap. During the Main Phase, if this card is treated as a Continuous Trap: You can Tribute 1 ""HERO"" monster; Special Summon this card. If this card is Special Summoned from the Spell & Trap Zone: You can make 1 face-up monster on the field gain 800 ATK. You can only use each effect of ""Vision HERO Multiply Guy"" once per turn.",MONSTER,[Warrior／Effect],DARK,800,700,0.1333,,9059,538553,BLC1-EN081C,BLC1-EN081,BATTLES OF LEGEND - CHAPTER 1,2019-07-12,UR Ultra Rare,3,Vision HERO Multiply Guy,False
Vision HERO Poisoner,"If you take battle or effect damage while this card is in your GY: You can place this card from your GY in your Spell & Trap Zone as a face-up Continuous Trap. During the Main Phase, if this card is treated as a Continuous Trap: You can Tribute 1 ""HERO"" monster; Special Summon this card. If this card is Special Summoned from the Spell & Trap Zone: You can halve the ATK of 1 face-up monster on the field. You can only use each effect of ""Vision HERO Poisoner"" once per turn.",MONSTER,[Warrior／Effect],DARK,900,700,0.1367,,9071,538555,BLC1-EN083C,BLC1-EN083,BATTLES OF LEGEND - CHAPTER 1,2019-07-12,UR Ultra Rare,3,Vision HERO Poisoner,False
Vision HERO Trinity,"3 ""HERO"" monstersAfter this card is Fusion Summoned, for the rest of this turn, this card's ATK becomes double its original ATK. This Fusion Summoned card can make up to 3 attacks during each Battle Phase. Cannot attack directly.",MONSTER,[Warrior／Fusion／Effect],DARK,2500,2000,0.45,,9196,538571,BLC1-EN099C,BLC1-EN099,BATTLES OF LEGEND - CHAPTER 1,2011-08-16,SR Super Rare,8,Vision HERO Trinity,False
Vision HERO Vyon,"If this card is Normal or Special Summoned: You can send 1 ""HERO"" monster from your Deck to the GY. You can only use this effect of ""Vision HERO Vyon"" once per turn. Once per turn: You can banish 1 ""HERO"" monster from your GY; add 1 ""Polymerization"" from your Deck to your hand.",MONSTER,[Warrior／Effect],DARK,1000,1200,0.9,,9229,538569,BLC1-EN097C,BLC1-EN097,BATTLES OF LEGEND - CHAPTER 1,2019-04-03,UR Ultra Rare,4,Vision HERO Vyon,False
Vision HERO Witch Raider,"To Tribute Summon this card face-up, you can Tribute Trap(s) you control, as well as monsters. When this card is Normal Summoned: You can destroy all Spells and Traps your opponent controls. You cannot Special Summon monsters during the turn you activate this effect, except ""HERO"" monsters.",MONSTER,[Warrior／Effect],DARK,2700,1900,0.21,,9074,538570,BLC1-EN098C,BLC1-EN098,BATTLES OF LEGEND - CHAPTER 1,2017-07-07,C Common,8,Vision HERO Witch Raider,False
Vision Resonator,"If a Level 5 or higher DARK monster is on the field, you can Special Summon this card (from your hand). You can only Special Summon ""Vision Resonator"" once per turn this way. If this card is sent to the GY: You can add 1 Spell/Trap that mentions ""Red Dragon Archfiend"" from your Deck to your hand. You can only use this effect of ""Vision Resonator"" once per turn.",MONSTER,[Fiend／Tuner／Effect],DARK,400,400,1.05,,19015,515988,SDCK-EN002UR,SDCK-EN002,STRUCTURE DECK: THE CRIMSON KING,2023-09-22,UR Ultra Rare,2,Vision Resonator,False
Vivid Knight,"During either player's turn (except during the Damage Step), when your opponent targets exactly 1 LIGHT Beast-Warrior-Type monster you control (and no other cards) for an attack, or with a card effect: Banish that monster you control until your next Standby Phase, and if you do, Special Summon this card from your hand.",MONSTER,[Beast-Warrior／Effect],LIGHT,1700,800,0.15,,10584,72363,SHSP-EN099R,SHSP-EN099,SHADOW SPECTERS,2013-11-08,R Rare,4,Vivid Knight,False
Void Ogre Dragon,"1 DARK Tuner + 1+ non-Tuner monstersOnce per turn, when your opponent activates a Spell/Trap Card while you have no cards in your hand (Quick Effect): You can negate the activation, and if you do, destroy it.",MONSTER,[Dragon／Synchro／Effect],DARK,3000,3000,1.315,,9970,224666,OP14-EN018C,OP14-EN018,OTS TOURNAMENT PACK 14,2012-03-20,C Common,8,Void Ogre Dragon,False
Vola-Chemicritter Methydraco,"2 Level 8 Gemini monstersWhen this card is Xyz Summoned: You can target 1 Gemini monster in your Graveyard; Special Summon it. While this card has Xyz Material, monsters your opponent controls cannot target Gemini monsters you control for attacks, also your opponent cannot target Gemini monsters you control with card effects. When a Gemini monster is Normal Summoned: You can detach 1 Xyz Material from this card; make your opponent send 1 card from their hand or field to the Graveyard (their choice).",MONSTER,[Beast-Warrior／Xyz／Effect],FIRE,3000,3000,0.15,,12640,124748,INOV-EN050SR,INOV-EN050,INVASION: VENGEANCE,2016-11-04,SR Super Rare,8,Vola-Chemicritter Methydraco,False
Volcanic Blaster,"When this card is destroyed by battle and sent to the GY: You can place 1 ""Volcanic"" monster from your Deck on top of your Deck.",MONSTER,[Pyro／Effect],FIRE,1200,600,0.165,,7102,266114,SGX1-ENH08C,FOTB-EN011,FORCE OF THE BREAKER,2007-05-16,C Common,3,Volcanic Blaster,False
Volcanic Counter,"When you take battle damage while this card is in your Graveyard: Banish it from your Graveyard, then if there is a FIRE monster other than ""Volcanic Counter"" in your Graveyard, inflict damage to your opponent equal to the amount of battle damage you took.",MONSTER,[Pyro／Effect],FIRE,300,1300,1.88,,7415,67720,SDOK-EN014C,PTDN-EN012,ONSLAUGHT OF THE FIRE KINGS STRUCTURE DECK,2008-02-13,C Common,3,Volcanic Counter,False
Volcanic Doomfire,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by sending 1 ""Tri-Blaze Accelerator"" you control to the GY. During your opponent's Battle Phase, all Attack Position monsters your opponent controls that can attack must attack this card. If this card destroys a monster by battle and sends it to the GY: Destroy as many monsters your opponent controls as possible, and if you do, inflict 500 damage to your opponent for each monster destroyed by this effect.",MONSTER,[Pyro／Effect],FIRE,3000,1800,3.515,,7085,509907,LD10-EN029C,FOTB-EN008,FORCE OF THE BREAKER,2007-05-16,C Common,8,Volcanic Doomfire,False
Volcanic Emperor,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand or GY) by banishing 3 Pyro monsters or 1 ""Blaze Accelerator"" card from your face-up field and/or GY. You can only Special Summon ""Volcanic Emperor"" once per turn. When Summoned this way: You can inflict 500 damage to your opponent for each banished Pyro monster, then you can Set 1 ""Volcanic"" Trap directly from your Deck. Each time your opponent Special Summons a monster(s), inflict 500 damage to your opponent.",MONSTER,[Pyro／Effect],FIRE,3100,2400,1.21,,18915,509882,LD10-EN018UR,LD10-EN018,LEGENDARY DUELISTS: SOULBURNING VOLCANO,2023-08-11,UR Ultra Rare,8,Volcanic Emperor,False
Volcanic Hammerer,"Once per turn, during your Main Phase: You can inflict damage to your opponent equal to the number of ""Volcanic"" monsters in your GY x 200. This card cannot attack the turn you activate this effect.",MONSTER,[Pyro／Effect],FIRE,2400,1500,0.1133,,7104,509985,LD10-EN052C,FOTB-EN013,FORCE OF THE BREAKER,2007-05-16,C Common,5,Volcanic Hammerer,False
Volcanic Queen,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) to your opponent's field by Tributing 1 monster they control. You cannot Normal Summon/Set the turn you Special Summon this card. Once per turn: You can send 1 other card you control to the GY; inflict 1000 damage to your opponent. Once per turn, during your End Phase: Tribute 1 other monster or take 1000 damage.",MONSTER,[Pyro／Effect],FIRE,2500,1200,0.15,,7578,509906,LD10-EN028C,LODT-EN005,LIGHT OF DESTRUCTION,2008-05-13,C Common,6,Volcanic Queen,False
Volcanic Rat,This mutated mouse dwells in the core of active volcanoes. No amount of heat is too much for it to bear.,MONSTER,[Pyro／Normal],FIRE,500,500,0.2,,7191,26080,TAEV-EN002C,TAEV-EN002,TACTICAL EVOLUTION,2007-08-15,C Common,1,Volcanic Rat,False
