name,description,type,sub_type,attribute,attack,defense,price,volatility,rank,set_id,Unnamed: 0,rarity,set_name,set_release,name_official,index,index_market,join_id,set_release_parsed,Decks
Thunder End Dragon,2 Level 8 Normal MonstersOnce per turn: You can detach 1 Xyz Material from this card; destroy all other monsters on the field.,MONSTER,[Dragon／Xyz／Effect],LIGHT,3000.0,2000.0,,,,"['SP14-EN021', 'SP14-EN021', 'DL16-EN012', 'DL16-EN012', 'DL16-EN012', 'DL16-EN012', 'PHSW-EN044', 'PHSW-EN044']",36603,C Common,STAR PACK 2014,2014-02-21,Thunder End Dragon,9762,79874,SP14-EN021C,2014-02-21,"['SP14-EN021 (STAR PACK 2014)', 'SP14-EN021 (DUELIST LEAGUE 16)', 'DL16-EN012 (PHOTON SHOCKWAVE)']"
Thunder Hand,"If a face-up monster(s) you control with 1600 original ATK or DEF is destroyed by battle or an opponent's card effect and sent to the GY, while this card is in your hand or GY: You can Special Summon this card (but banish it when it leaves the field), and if you do, destroy 1 card your opponent controls. You can only use this effect of ""Thunder Hand"" once per turn.",MONSTER,[Thunder／Effect],LIGHT,1600.0,1600.0,,,,"['SDBT-EN022', 'MP21-EN120']",36611,C Common,STRUCTURE DECK: BEWARE OF TRAPTRIX,2023-02-24,Thunder Hand,15265,483718,SDBT-EN022C,2023-02-24,"['SDBT-EN022 (STRUCTURE DECK: BEWARE OF TRAPTRIX)', 'MP21-EN120 (2021 TIN OF ANCIENT BATTLES)']"
Thunder Kid,"This monster stores electricity within his body, and can unleash it with catastrophic power.",MONSTER,[Thunder／Normal],WIND,700.0,600.0,,,,['CP01-EN012'],36613,C Common,CHAMPION PACK GAME ONE,2006-11-11,Thunder Kid,4217,26067,CP01-EN012C,2006-11-11,['CP01-EN012 (CHAMPION PACK GAME ONE)']
Thunder King Rai-Oh,"Neither player can add cards from their Deck to their hand except by drawing them. When your opponent would Special Summon exactly 1 monster (Quick Effect): You can send this face-up card to the GY; negate the Special Summon, and if you do, destroy it.",MONSTER,[Thunder／Effect],LIGHT,1900.0,800.0,,,,"['RA03-EN206', 'RA03-EN206', 'PGLD-EN075', 'TU08-EN000', 'RYMP-EN074', 'LCGX-EN203', 'GLD3-EN020', 'YG02-EN001']",36614,PS Platinum Secret Rare,QUARTER CENTURY BONANZA,2024-11-07,Thunder King Rai-Oh,7397,592978,RA03-EN206PS,2024-11-07,"['RA03-EN206 (QUARTER CENTURY BONANZA)', 'RA03-EN206 (PREMIUM GOLD)', 'PGLD-EN075 (TURBO PACK BOOSTER EIGHT)', 'TU08-EN000 (RA YELLOW MEGA PACK)', 'RYMP-EN074 (LEGENDARY COLLECTION 2 THE DUEL ACADEMY YEARS MEGA PACK)', 'LCGX-EN203 (GOLD SERIES 3)', 'GLD3-EN020 (Yu-Gi-Oh! GX volume 2 Promotional Card)']"
"Thunder King, the Lightningstrike Kaiju","You can Special Summon this card (from your hand) to your opponent's field in Attack Position, by Tributing 1 monster they control. If your opponent controls a ""Kaiju"" monster, you can Special Summon this card (from your hand) in Attack Position. You can only control 1 ""Kaiju"" monster. Once per turn: You can remove 3 Kaiju Counters from anywhere on the field; your opponent cannot activate cards or effects for the rest of this turn, also this card can make up to 3 attacks on monsters during each Battle Phase this turn.",MONSTER,[Thunder／Effect],LIGHT,3300.0,2100.0,,,,"['SDAZ-EN008', 'MP17-EN046', 'SHVI-EN087']",36622,C Common,STRUCTURE DECK: ALBAZ STRIKE,2022-04-15,"Thunder King, the Lightningstrike Kaiju",12390,268000,SDAZ-EN008C,2022-04-15,"['SDAZ-EN008 (STRUCTURE DECK: ALBAZ STRIKE)', 'MP17-EN046 (2017 MEGA-TINS MEGA PACK)', 'SHVI-EN087 (SHINING VICTORIES)']"
Thunder Nyan Nyan,"If there is a non-LIGHT monster on your side of the field, destroy this face-up card.",MONSTER,[Thunder／Effect],LIGHT,1900.0,800.0,,,,"['DB2-EN169', 'TP6-EN014', 'LOD-059']",36625,R Rare,DARK BEGINNING 2,2005-07-27,Thunder Nyan Nyan,5028,24370,DB2-EN169R,2005-07-27,"['DB2-EN169 (DARK BEGINNING 2)', 'TP6-EN014 (TOURNAMENT PACK 6)', 'LOD-059 (LEGACY OF DARKNESS)']"
Thunder Sea Horse,"You can discard this card; add 2 Level 4 LIGHT Thunder-Type monsters of the same name with 1600 or less ATK from your Deck to your hand. You can only use the effect of ""Thunder Sea Horse"" once per turn. You cannot Special Summon during the turn you activate this effect.",MONSTER,[Thunder／Effect],LIGHT,1600.0,1200.0,,,,"['CT10-EN016', 'ABYR-EN098']",36631,SR Super Rare,COLLECTIBLE TIN 2013 WAVE 2,2013-11-22,Thunder Sea Horse,10215,77329,CT10-EN016SR,2013-11-22,"['CT10-EN016 (COLLECTIBLE TIN 2013 WAVE 2)', 'ABYR-EN098 (ABYSS RISING)']"
Thunder Unicorn,"1 Beast-Type Tuner + 1 or more non-Tuner monstersOnce per turn, during your Main Phase, you can select 1 face-up monster your opponent controls. It loses 500 ATK for each monster you control, until the End Phase. During the turn this effect is activated, no other monsters can attack, except this card.",MONSTER,[Beast／Synchro／Effect],LIGHT,2200.0,1800.0,,,,"['DREV-EN040', 'DREV-EN040']",36634,UR Ultra Rare,DUELIST REVOLUTION,2010-08-17,Thunder Unicorn,8971,35793,DREV-EN040UR,2010-08-17,['DREV-EN040 (DUELIST REVOLUTION)']
Thunderclap Monk,"When your opponent activates a monster effect while you control this Special Summoned monster (Quick Effect): You can Tribute this card; negate the activation, and if you do, destroy it. If this card is sent from the field to the GY: You can Special Summon 1 Thunder monster from your hand in Defense Position. You can only use each effect of ""Thunderclap Monk"" once per turn.",MONSTER,[Thunder／Effect],LIGHT,1900.0,200.0,,,,['SAST-EN026'],36636,SR Super Rare,SAVAGE STRIKE,2019-02-01,Thunderclap Monk,14103,184132,SAST-EN026SR,2019-02-01,['SAST-EN026 (SAVAGE STRIKE)']
Thunderclap Skywolf,If this card is Special Summoned from the Graveyard: You can destroy all face-up monsters your opponent controls. You cannot conduct your Battle Phase the turn you activate this effect.,MONSTER,[Thunder／Effect],LIGHT,2500.0,2000.0,,,,"['SECE-ENS08', 'SECE-EN036']",36637,SR Super Rare,SECRETS OF ETERNITY SUPER EDITION,2015-02-27,Thunderclap Skywolf,11556,96143,SECE-ENS08SR,2015-02-27,"['SECE-ENS08 (SECRETS OF ETERNITY SUPER EDITION)', 'SECE-EN036 (SECRETS OF ETERNITY)']"
TiSolfachord Beautia,"(Quick Effect): You can target 1 Effect Monster your opponent controls, or, if you have an even Pendulum Scale in your Pendulum Zone, you can target 1 face-up Spell/Trap your opponent controls; this turn, banish it when it leaves the field. You can only use this effect of ""TiSolfachord Beautia"" once per turn. Once per turn, at the start of the Damage Step, if this card battles a monster with an equal or higher ATK than the lowest Pendulum Scale in your Pendulum Zone x 300: Destroy that monster.",MONSTER,[Fairy／Pendulum／Effect],EARTH,2500.0,2400.0,,,,"['ANGU-EN020', 'ANGU-EN020']",36817,UR Ultra Rare,ANCIENT　GUARDIANS,2021-05-07,TiSolfachord Beautia,16090,238023,ANGU-EN020UR,2021-05-07,['ANGU-EN020 (ANCIENT\u3000GUARDIANS)']
"Tidal, Dragon Ruler of Waterfalls","If this card is in your hand or GY: You can banish a total of 2 WATER and/or Dragon monsters from your hand and/or GY, except this card; Special Summon this card. During your opponent's End Phase, if you control this Special Summoned card: Return it to the hand. You can discard this card and 1 WATER monster to the GY; send 1 monster from your Deck to the GY. If this card is banished: You can add 1 WATER Dragon monster from your Deck to your hand. You can only use 1 ""Tidal, Dragon Ruler of Waterfalls"" effect per turn, and only once that turn.",MONSTER,[Dragon／Effect],WATER,2600.0,2000.0,,,,"['BLMM-EN118', 'RA03-EN009', 'RA03-EN009', 'RA03-EN009', 'RA03-EN009', 'RA03-EN009', 'CT10-EN001', 'LTGY-EN039']",36642,UR Ultra Rare,BATTLES OF LEGEND: MONSTER MAYHEM (Americas only),2025-06-13,"Tidal, Dragon Ruler of Waterfalls",10520,636011,BLMM-EN118UR,2025-06-13,"['BLMM-EN118 (BATTLES OF LEGEND: MONSTER MAYHEM (Americas only))', 'RA03-EN009 (QUARTER CENTURY BONANZA)', 'RA03-EN009 (COLLECTIBLE TIN 2013 WAVE 1)', 'RA03-EN009 (LORD OF THE TACHYON GALAXY)']"
"Tierra, Source of Destruction","Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by shuffling 10 other cards with different names from your hand and/or field into the Deck and/or Extra Deck, and cannot be Special Summoned by other ways. This card's Special Summon cannot be negated. If this card is Special Summoned: Shuffle all cards into the Deck, except this card, from each player's hand, field, Graveyard, and face-up Pendulum Monsters from the Extra Deck. Neither player can activate cards or effects in response to this effect's activation.",MONSTER,[Fiend／Effect],LIGHT,3400.0,3600.0,,,,['RATE-EN027'],36650,SR Super Rare,RAGING TEMPEST,2017-02-10,"Tierra, Source of Destruction",12762,127281,RATE-EN027SR,2017-02-10,['RATE-EN027 (RAGING TEMPEST)']
Tiger Axe,A fast and powerful axe-wielding beast-warrior.,MONSTER,[Beast-Warrior／Normal],EARTH,1300.0,1100.0,,,,"['MIL1-EN031', 'LCJW-EN008', 'DB2-EN091', 'TP1-012']",36660,C Common,MILLENNIUM PACK,2016-04-15,Tiger Axe,4070,116979,MIL1-EN031C,2016-04-15,"['MIL1-EN031 (MILLENNIUM PACK)', ""LCJW-EN008 (LEGENDARY COLLECTION 4 JOEY'S WORLD MEGA PACK)"", 'DB2-EN091 (DARK BEGINNING 2)', 'TP1-012 (TOURNAMENT PACK 1ST SEASON)']"
Tiger Dragon,When this card is Tribute Summoned by Tributing a Dragon monster: You can target up to 2 Set cards in your opponent's Spell & Trap Zone; destroy those targets.,MONSTER,[Dragon／Effect],EARTH,2400.0,1800.0,,,,"['LCKC-EN069', 'LDK2-ENK15', 'LDK2-ENK15', 'YSKR-EN024', 'CSOC-EN036']",36664,UR Ultra Rare,LEGENDARY COLLECTION KAIBA MEGA PACK,2018-03-09,Tiger Dragon,7896,161995,LCKC-EN069UR,2018-03-09,"['LCKC-EN069 (LEGENDARY COLLECTION KAIBA MEGA PACK)', 'LDK2-ENK15 (LEGENDARY DECKS II)', 'LDK2-ENK15 (STARTER DECK KAIBA RELOADED)', 'YSKR-EN024 (CROSSROADS OF CHAOS)']"
Tilting Entrainment,"1 Tuner + 1+ non-Tuner monstersIf this card is Synchro Summoned: You can Special Summon 1 Level 4 or lower Pendulum Monster from your hand or face-up from your Extra Deck. At the end of the Damage Step, when this card or your Pendulum Monster battles an opponent's monster, but the opponent's monster was not destroyed by the battle: You can destroy that opponent's monster. You can only use each effect of ""Tilting Entrainment"" once per turn.",MONSTER,[Machine／Synchro／Effect],EARTH,2800.0,1600.0,,,,['DABL-EN083'],36681,C Common,DARKWING BLAST,2022-10-21,Tilting Entrainment,18032,450193,DABL-EN083C,2022-10-21,['DABL-EN083 (DARKWING BLAST)']
Timaeus the United Dragon,"You can send 1 Spellcaster monster, or 1 Spell/Trap that mentions ""Dark Magician"", from your hand or face-up field to the GY; Special Summon this card from your hand. During your Main Phase: You can Fusion Summon 1 Fusion Monster from your Extra Deck, using monsters from your hand or field as material, including a Spellcaster monster. You can only use each effect of ""Timaeus the United Dragon"" once per turn.",MONSTER,[Dragon／Effect],LIGHT,2800.0,1800.0,,,,"['MP23-EN003', 'BACH-EN003']",36688,PSE Prismatic Secret Rare,25TH ANNIVERSARY TIN: DUELING HEROES MEGA PACK,2023-09-08,Timaeus the United Dragon,16808,514593,MP23-EN003PSE,2023-09-08,"['MP23-EN003 (25TH ANNIVERSARY TIN: DUELING HEROES MEGA PACK)', 'BACH-EN003 (BATTLE OF CHAOS)']"
Time Escaper,"During either player's turn: You can discard this card, then target 1 Psychic-Type monster you control; banish it until your next Standby Phase.",MONSTER,[Psychic／Effect],EARTH,500.0,100.0,,,,"['BP03-EN088', 'BP03-EN088', 'GENF-EN024']",36692,C Common,BATTLE PACK 3 MONSTER LEAGUE,2014-08-01,Time Escaper,9641,91841,BP03-EN088C,2014-08-01,"['BP03-EN088 (BATTLE PACK 3 MONSTER LEAGUE)', 'BP03-EN088 (GENERATION FORCE)']"
Time Magic Hammer,"Must be Special Summoned with ""The Claw of Hermos"", using a Spellcaster monster. If this card is Special Summoned: Target 1 other face-up monster on the field; equip this card to it. At the start of the Damage Step, if it battles an opponent's monster: You can roll a six-sided die, and banish that opponent's monster until the Standby Phase of the Nth turn after this effect's activation (N = the result).",MONSTER,[Spellcaster／Fusion／Effect],LIGHT,500.0,400.0,,,,"['DLCS-EN060', 'LEDD-ENA40', 'LEDD-ENA40', 'DRL3-EN063', 'DRL2-EN009']",36702,C Common,DRAGONS OF LEGEND: THE COMPLETE SERIES,2020-09-11,Time Magic Hammer,11888,221597,DLCS-EN060C,2020-09-11,"['DLCS-EN060 (DRAGONS OF LEGEND: THE COMPLETE SERIES)', 'LEDD-ENA40 (LEGENDARY DRAGON DECKS)', 'LEDD-ENA40 (DRAGONS OF LEGEND -UNLEASHED-)', 'DRL3-EN063 (DRAGONS OF LEGEND 2)']"
Time Maiden,"If you control no monsters, you can Special Summon this card (from your hand). This card can be treated as 2 Tributes for the Tribute Summon of a ""Timelord"" monster. You can Tribute this card; add 1 ""Timelord"" monster with 0 ATK from your Deck to your hand. You can banish this card from your GY; Special Summon 1 ""Timelord"" monster with 0 ATK from your Deck, ignoring its Summoning conditions. You cannot Special Summon other monsters during the turn you activate this effect.",MONSTER,[Fairy／Effect],LIGHT,0.0,0.0,,,,['BLLR-EN035'],36707,SE Secret Rare,BATTLES OF LEGEND -LIGHT'S REVENGE-,2017-07-07,Time Maiden,13161,136824,BLLR-EN035SE,2017-07-07,"[""BLLR-EN035 (BATTLES OF LEGEND -LIGHT'S REVENGE-)""]"
Time Reloader,"During the Main Phase, if a monster on the field is flipped face-up: You can Special Summon this card from your hand, then change 1 face-up monster on the field to face-down Defense Position. During the Main Phase, if this card is flipped face-up: You can target 1 monster in your GY; Special Summon it in Defense Position, then change 1 face-up monster on the field to face-down Defense Position. You can only use each effect of ""Time Reloader"" once per turn.",MONSTER,[Machine／Effect],LIGHT,1200.0,2400.0,,,,"['MP25-EN308', 'PHNI-EN026']",36710,C Common,2025 MEGA-PACK TIN,2025-09-05,Time Reloader,19482,651707,MP25-EN308C,2025-09-05,"['MP25-EN308 (2025 MEGA-PACK TIN)', 'PHNI-EN026 (PHANTOM NIGHTMARE)']"
Time Thief Adjuster,"If you Normal or Special Summon a ""Time Thief"" monster(s), except ""Time Thief Adjuster"" (except during the Damage Step): You can Special Summon this card from your hand. If this card is Normal or Special Summoned: You can send 1 ""Time Thief"" card from your Deck to the GY, except ""Time Thief Adjuster"". You can only use 1 ""Time Thief Adjuster"" effect per turn, and only once that turn.",MONSTER,[Psychic／Effect],DARK,1200.0,1800.0,,,,['GFTP-EN012'],36719,UR Ultra Rare,GHOSTS FROM THE PAST,2021-04-16,Time Thief Adjuster,15855,235720,GFTP-EN012UR,2021-04-16,['GFTP-EN012 (GHOSTS FROM THE PAST)']
Time Thief Bezel Ship,"(Quick Effect): You can Tribute this card, then target 1 ""Time Thief"" Xyz Monster you control; attach 1 card from your opponent's GY to that monster as material. If this card is in the GY: You can detach 1 material from an Xyz Monster you control; Special Summon this card, but banish it when it leaves the field. You can only use each effect of ""Time Thief Bezel Ship"" once per turn.",MONSTER,[Machine／Effect],DARK,1000.0,2000.0,,,,"['GFTP-EN061', 'MP20-EN038', 'SAST-EN083']",36720,UR Ultra Rare,GHOSTS FROM THE PAST,2021-04-16,Time Thief Bezel Ship,14354,235810,GFTP-EN061UR,2021-04-16,"['GFTP-EN061 (GHOSTS FROM THE PAST)', 'MP20-EN038 (2020 TIN OF LOST MEMORIES)', 'SAST-EN083 (SAVAGE STRIKE)']"
Time Thief Chronocorder,"During your opponent's Battle Phase (Quick Effect): You can Tribute this card; the next battle damage you take from an opponent's monster's attack this turn is inflicted to your opponent instead. If a face-up Xyz Monster you control leaves the field by card effect, while this card is in your GY (except during the Damage Step): You can Special Summon this card, but banish it when it leaves the field. You can only use each effect of ""Time Thief Chronocorder"" once per turn.",MONSTER,[Machine／Effect],DARK,1000.0,1000.0,,,,"['GFTP-EN063', 'IGAS-EN018']",36723,UR Ultra Rare,GHOSTS FROM THE PAST,2021-04-16,Time Thief Chronocorder,14827,235813,GFTP-EN063UR,2021-04-16,"['GFTP-EN063 (GHOSTS FROM THE PAST)', 'IGAS-EN018 (IGNITION ASSAULT)']"
Time Thief Double Barrel,"2 Level 4 monstersWhen your opponent activates a card or effect: You can detach up to 3 different types of materials from this card (Monster, Spell, and Trap), then apply the following effect(s) depending on what was detached, in sequence.●Monster: This card gains 400 ATK.●Spell: Take control of 1 face-up monster your opponent controls until the End Phase, but it cannot declare an attack nor activate its effects this turn.●Trap: Negate the effects of 1 Effect Monster on the field until the end of this turn.You can only use this effect of ""Time Thief Double Barrel"" once per turn.",MONSTER,[Psychic／Xyz／Effect],DARK,2200.0,2200.0,,,,['GFTP-EN013'],36725,UR Ultra Rare,GHOSTS FROM THE PAST,2021-04-16,Time Thief Double Barrel,15856,235722,GFTP-EN013UR,2021-04-16,['GFTP-EN013 (GHOSTS FROM THE PAST)']
Time Thief Perpetua,"2 Level 4 monstersDuring the Standby Phase: You can detach 1 material from this card, then target 1 ""Time Thief"" monster in your GY, except ""Time Thief Perpetua""; Special Summon that monster. (Quick Effect): You can target 1 other Xyz Monster you control; attach 1 ""Time Thief"" card from your Deck to it as material. You can only use each effect of ""Time Thief Perpetua"" once per turn.",MONSTER,[Psychic／Xyz／Effect],DARK,1900.0,2500.0,,,,"['GFTP-EN065', 'IGAS-EN094', 'IGAS-EN094']",36732,UR Ultra Rare,GHOSTS FROM THE PAST,2021-04-16,Time Thief Perpetua,14799,235817,GFTP-EN065UR,2021-04-16,"['GFTP-EN065 (GHOSTS FROM THE PAST)', 'IGAS-EN094 (IGNITION ASSAULT)']"
Time Thief Redoer,"2 Level 4 monstersOnce per turn, during the Standby Phase: You can attach the top card of your opponent's Deck to this card as material. (Quick Effect): You can detach up to 3 different types of materials from this card, then apply the following effect(s) depending on what was detached.●Monster: Banish this card until the End Phase.●Spell: Draw 1 card.●Trap: Place 1 face-up card your opponent controls on top of the Deck.You can only use this effect of ""Time Thief Redoer"" once per turn.",MONSTER,[Psychic／Xyz／Effect],DARK,2400.0,2000.0,,,,"['CRBR-EN014', 'RA01-EN041', 'RA01-EN041', 'RA01-EN041', 'RA01-EN041', 'RA01-EN041', 'GFTP-EN064', 'MP20-EN040', 'OP12-EN011', 'SAST-EN085']",36736,R Rare,CROSSOVER BREAKERS,2024-12-06,Time Thief Redoer,14356,599855,CRBR-EN014R,2024-12-06,"['CRBR-EN014 (CROSSOVER BREAKERS)', 'RA01-EN041 (25TH ANNIVERSARY RARITY COLLECTION)', 'RA01-EN041 (GHOSTS FROM THE PAST)', 'RA01-EN041 (2020 TIN OF LOST MEMORIES)', 'RA01-EN041 (OTS TOURNAMENT PACK 12)', 'RA01-EN041 (SAVAGE STRIKE)']"
Time Thief Regulator,"If you control no other monsters: You can Tribute this card; Special Summon 2 ""Time Thief"" monsters with different names from your Deck in Defense Position, except ""Time Thief Regulator"". When an Xyz Monster you control is destroyed by battle, while this card is in your GY: You can Special Summon this card, but banish it when it leaves the field. You can only use each effect of ""Time Thief Regulator"" once per turn.",MONSTER,[Machine／Effect],DARK,600.0,200.0,,,,"['GFTP-EN062', 'MP20-EN039', 'SAST-EN084']",36746,UR Ultra Rare,GHOSTS FROM THE PAST,2021-04-16,Time Thief Regulator,14355,235812,GFTP-EN062UR,2021-04-16,"['GFTP-EN062 (GHOSTS FROM THE PAST)', 'MP20-EN039 (2020 TIN OF LOST MEMORIES)', 'SAST-EN084 (SAVAGE STRIKE)']"
Time Thief Temporwhal,"You can Tribute this card, then target 1 monster your opponent controls; banish it until the End Phase. If this card is in your GY: You can target 1 ""Time Thief"" monster you control, except ""Time Thief Temporwhal""; return that monster to the hand, and if you do, Special Summon this card, but banish it when it leaves the field. You can only use each effect of ""Time Thief Temporwhal"" once per turn.",MONSTER,[Machine／Effect],DARK,800.0,1400.0,,,,['GFP2-EN044'],36753,UR Ultra Rare,GHOSTS FROM THE PAST: THE 2ND HAUNTING,2022-05-06,Time Thief Temporwhal,16047,269309,GFP2-EN044UR,2022-05-06,['GFP2-EN044 (GHOSTS FROM THE PAST: THE 2ND HAUNTING)']
Time Thief Winder,"You can detach 1 material from an Xyz Monster you control; Special Summon this card from your hand. If this card is Normal or Special Summoned: You can add 1 ""Time Thief"" card from your Deck to your hand, except ""Time Thief Winder"". You can only use each effect of ""Time Thief Winder"" once per turn.",MONSTER,[Psychic／Effect],DARK,1800.0,1300.0,,,,"['GFTP-EN060', 'MP20-EN037', 'SAST-EN082']",36754,UR Ultra Rare,GHOSTS FROM THE PAST,2021-04-16,Time Thief Winder,14353,235807,GFTP-EN060UR,2021-04-16,"['GFTP-EN060 (GHOSTS FROM THE PAST)', 'MP20-EN037 (2020 TIN OF LOST MEMORIES)', 'SAST-EN082 (SAVAGE STRIKE)']"
Time Wizard,"Once per turn: You can toss a coin and call it. If you call it right, destroy all monsters your opponent controls. If you call it wrong, destroy as many monsters you control as possible, and if you do, take damage equal to half the total ATK those destroyed monsters had while face-up on the field.",MONSTER,[Spellcaster／Effect],LIGHT,500.0,400.0,,,,"['SBC1-ENB03', 'MRD-EN065', 'MRD-EN065', 'STP1-EN008', 'SS02-ENB07', 'LDK2-ENJ15', 'LDK2-ENJ15', 'DPBC-EN024', 'LCJW-EN021', 'DLG1-EN036', 'RP01-EN035', 'RP01-EN035', 'DB2-EN038', 'SDJ-015', 'MRD-065']",36760,C Common,SPEED DUEL: STREETS OF BATTLE CITY,2023-08-25,Time Wizard,4022,512246,SBC1-ENB03C,2023-08-25,"['SBC1-ENB03 (SPEED DUEL: STREETS OF BATTLE CITY)', 'MRD-EN065 (METAL RAIDERS (LC01 25th Anniversary Edition))', 'MRD-EN065 (SPEED DUEL TOURNAMENT PACK 01)', 'STP1-EN008 (SPEED DUEL STARTER DECK: DUELISTS OF TOMORROW)', 'SS02-ENB07 (LEGENDARY DECKS II)', 'LDK2-ENJ15 (DUELIST PACK - BATTLE CITY -)', ""LDK2-ENJ15 (LEGENDARY COLLECTION 4 JOEY'S WORLD MEGA PACK)"", 'DPBC-EN024 (DARK LEGENDS)', 'LCJW-EN021 (RETRO PACK)', 'DLG1-EN036 (DARK BEGINNING 2)', 'RP01-EN035 (STARTER DECK JOEY)', 'RP01-EN035 (METAL RAIDERS)']"
Time Wizard of Tomorrow,"""Time Wizard"" + 1 Effect MonsterOnce per turn, while you control this Fusion Summoned card: You can toss a coin and call it. Destroy as many monsters on the field as possible, and if you do, inflict damage equal to half the total original ATK of the destroyed face-up monsters. If you called the coin toss right, your opponent takes the damage, if you called it wrong, you take the damage.",MONSTER,[Spellcaster／Fusion／Effect],LIGHT,2000.0,1900.0,,,,['DLCS-EN147'],36775,SE Secret Rare,DRAGONS OF LEGEND: THE COMPLETE SERIES,2020-09-11,Time Wizard of Tomorrow,15462,221734,DLCS-EN147SE,2020-09-11,['DLCS-EN147 (DRAGONS OF LEGEND: THE COMPLETE SERIES)']
Timeater,If this card destroys an opponent's monster by battle: Your opponent skips their next Main Phase 1.,MONSTER,[Machine／Effect],DARK,1900.0,1700.0,,,,['PGD-010'],36782,C Common,PHARAONIC GUARDIAN,2003-07-18,Timeater,5041,22524,PGD-010C,2003-07-18,['PGD-010 (PHARAONIC GUARDIAN)']
Timebreaker Magician,When this card is Pendulum Summoned from the hand (and no other cards are Pendulum Summoned at the same time): You can make this card's ATK become double its original ATK. Once per turn: You can target 1 monster on the field; banish both it and this card from the field until your next Standby Phase.,MONSTER,[Spellcaster／Pendulum／Effect],DARK,1400.0,0.0,,,,"['PEVO-EN019', 'MP16-EN174', 'BOSH-EN002']",36783,SR Super Rare,PENDULUM EVOLUTION,2017-06-23,Timebreaker Magician,12110,134966,PEVO-EN019SR,2017-06-23,"['PEVO-EN019 (PENDULUM EVOLUTION)', 'MP16-EN174 (2016 MEGA-TINS MEGA PACK)', 'BOSH-EN002 (BREAKERS OF SHADOW)']"
Timegazer Magician,"Each turn, the first card(s) in your Pendulum Zone that would be destroyed by an opponent's card effect, is not destroyed.",MONSTER,[Spellcaster／Pendulum／Effect],DARK,1200.0,600.0,,,,"['LED6-EN050', 'PEVO-EN012', 'YS16-EN010', 'SDMP-EN008', 'SP15-EN011', 'SP15-EN011', 'YS14-EN010']",36786,C Common,LEGENDARY DUELISTS: MAGICAL HERO,2020-01-17,Timegazer Magician,11135,207035,LED6-EN050C,2020-01-17,"['LED6-EN050 (LEGENDARY DUELISTS: MAGICAL HERO)', 'PEVO-EN012 (PENDULUM EVOLUTION)', 'YS16-EN010 (STARTER DECK YUYA)', 'SDMP-EN008 (MASTER OF PENDULUM STRUCTURE DECK)', 'SP15-EN011 (STAR PACK ARC-V)', 'SP15-EN011 (SUPER STARTER SPACE-TIME SHOWDOWN)']"
Timelord Progenitor Vorpgate,"1 Tuner + 1+ non-Tuner monstersCannot be destroyed by battle or card effects. You take no battle damage from attacks involving this card. At the end of the Damage Step, if this card that was Special Summoned from the Extra Deck battled: You can activate this effect; banish all monsters your opponent controls, also, for the rest of this turn, halve the battle damage your opponent takes. Once per turn, during the End Phase, if this effect was activated this turn: Special Summon as many monsters as possible that you banished with this card's effect, to your opponent's field.",MONSTER,[Fairy／Synchro／Effect],DARK,0.0,0.0,,,,"['BLC1-EN008', 'YA06-EN001']",36793,SE Secret Rare,BATTLES OF LEGEND - CHAPTER 1,2024-02-23,Timelord Progenitor Vorpgate,14163,538480,BLC1-EN008SE,2024-02-23,"['BLC1-EN008 (BATTLES OF LEGEND - CHAPTER 1)', 'YA06-EN001 (Yu-Gi-Oh! ARC-V Manga Vol.6)']"
Timestar Magician,"2 Level 4 ""Magician"" Pendulum MonstersMust first be Xyz Summoned with the above Xyz Materials. Once per turn: You can detach 1 Xyz Material from this card; add to your hand, 1 DARK Spellcaster-Type monster from your Deck, Graveyard, or face-up from your Extra Deck. Once per turn, if a Pendulum Monster Card(s) in your Monster Zone or Pendulum Zone would be destroyed by battle or card effect, you can send 1 Spellcaster-Type monster from your Deck to the Graveyard instead.",MONSTER,[Spellcaster／Xyz／Effect],DARK,2400.0,1200.0,,,,['PEVO-EN009'],36795,UR Ultra Rare,PENDULUM EVOLUTION,2017-06-23,Timestar Magician,12914,134956,PEVO-EN009UR,2017-06-23,['PEVO-EN009 (PENDULUM EVOLUTION)']
Tin Archduke,"3 Level 4 monstersOnce per turn, during either player's turn: You can detach 1 Xyz Material from this card, then target 1 monster your opponent controls; change its battle position. (Flip monsters' effects are not activated.)",MONSTER,[Machine／Xyz／Effect],EARTH,2200.0,1200.0,,,,"['BP03-EN128', 'HA07-EN060']",36798,SH Shatterfoil,BATTLE PACK 3 MONSTER LEAGUE,2014-08-01,Tin Archduke,10002,92009,BP03-EN128SH,2014-08-01,"['BP03-EN128 (BATTLE PACK 3 MONSTER LEAGUE)', 'HA07-EN060 (HIDDEN ARSENAL 7 KNIGHT OF STARS)']"
Tin Goldfish,When this card is Normal Summoned: You can Special Summon 1 Level 4 monster from your hand.,MONSTER,[Machine／Effect],WATER,800.0,2000.0,,,,"['OP05-EN019', 'SP14-EN017', 'SP14-EN017', 'HA07-EN037']",36800,C Common,OTS TOURNAMENT PACK 5,2017-08-03,Tin Goldfish,9979,139879,OP05-EN019C,2017-08-03,"['OP05-EN019 (OTS TOURNAMENT PACK 5)', 'SP14-EN017 (STAR PACK 2014)', 'SP14-EN017 (HIDDEN ARSENAL 7 KNIGHT OF STARS)']"
